bookId,title,author,genre,subgenre,format,isbn,origin,lastKnownRoom,lastKnownBookcase,lastKnownShelf,lastKnownRow,coverImage
book-921eac27-32c4-407b-a82e-f51da6e33ed0,Things Fall Apart,Chinua Achebe,Fiction,Historical Fiction,Paperback,9780385474542,Goodwill,Living Room,Living Room,Shelf 4,Main,/data/covers/achebe-chinua-things-fall-apart.webp
book-e00026b3-1591-4232-87d2-808399a52c94,National Audubon Society Field Guide to the Southwestern States,Peter Alden; Peter Friederici,Non-Fiction,Nature,Paperback,9780679446804,Goodwill,Living Room,Star Table,-,Main,/data/covers/alden-peter-national-audubon-society-field-guide-to-the-southwestern-states.webp
book-aec4b94c-3cfa-44a2-a98b-6a89ed399d78,The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,YA Fiction,Contemporary Fiction,Paperback,9780316013697,Goodwill,Bedroom,Bedroom,Shelf 2,Main,/data/covers/alexie-sherman-the-absolutely-true-diary-of-a-part-time-indian.webp
book-2023bca6-39f6-41b1-b77f-512e32d3022e,100 Things To Do in Phoenix Before You Die,Christine K. Bailey,Non-Fiction,Travel,Paperback,9781681060170,Goodwill,Living Room,TV Stand,Left Shelf,Main,/data/covers/bailey-christine-k-100-things-to-do-in-phoenix-before-you-die.webp
book-831ebd9a-6289-4401-99ed-a1220610b79b,A Woman of Substance,Barbara Taylor Bradford,Fiction,Chick Lit,Hardcover,9780739412503,Mom,Living Room,TV Stand,Left Shelf,Main,/data/covers/bradford-barbara-taylor-a-woman-of-substance.webp
book-09a1b2f8-27c4-4938-b16a-cbe5b62a0cb9,Animal Madness: Inside Their Minds,Laurel Braitman,Non-Fiction,Psychology,Paperback,9781451627015,Gift,Living Room,TV Stand,Right Shelf,Main,/data/covers/braitman-laurel-animal-madness-inside-their-minds.webp
book-49d222c9-bffb-4ef2-b62e-d1dd704521f7,New Treasury of Stories for Every Speaking and Writing Occasion,Jacob M. Braude,Non-Fiction,Reference,Hardcover,LCCN: 5913391,Gift,Living Room,TV Stand,Left Shelf,Main,/data/covers/braude-jacob-m-new-treasury-of-stories-for-every-speaking-and-writing-occasion.webp
book-ab9be95b-d68c-491a-9902-d67a84223868,Meddling Kids,Edgar Cantero,Fiction,Horror,Hardcover,9780385541992,Goodwill,Living Room,Yellow Cart,Shelf 3,Main,/data/covers/cantero-edgar-meddling-kids.webp
book-acd25710-a28e-410f-ad6b-68a7f2e8ce1c,Queenie,Candice Carty-Williams,Fiction,Contemporary Fiction,Paperback,9781501196027,Goodwill,Living Room,Living Room,Shelf 2,Main,/data/covers/carty-williams-candice-queenie.webp
book-0ca4f76d-8cc0-43b6-ac45-4198c5b9a02b,Queer 13: Lesbian and Gay Writers Recall Seventh Grade,Clifford Chase,Non-Fiction,LGBTQ+,Hardcover,9780688158118,Goodwill,Bedroom,Hutch,Shelf 2,Main,/data/covers/chase-clifford-queer-13-lesbian-and-gay-writers-recall-seventh-grade.webp
book-81521dd4-5cfd-4753-84a0-2a44ad008b2c,Imaginary Friend,Stephen Chbosky,Fiction,Horror,Paperback,9781538731352,Half Price Books,Living Room,Yellow Cart,Shelf 3,Main,/data/covers/chbosky-stephen-imaginary-friend.webp
book-a3afc3e9-6d58-4415-8845-c63247815fac,Counterfeit,Kristin Chen,Fiction,Mystery / Thriller,Paperback,9780063119550,Goodwill,Bedroom,Bedroom,Shelf 7,Main,/data/covers/chen-kristin-counterfeit.webp
book-ff8ed163-c2d1-4e4c-9708-ff8b6ce7bea6,Columbine,Dave Cullen,Non-Fiction,True Crime,Paperback,9780446546928,Goodwill,Living Room,Living Room,Shelf 5,Main,/data/covers/cullen-dave-columbine.webp
